Bedrooms,Bathrooms,City,Zip_Code,Neighborhood,Avg_Rent,Avg_Sqft,Concierge,Lounge,A/C,Smoke Free,Pets Allowed,Pool,Gym,Laundry,Gated,Furnished,Wheelchair Accessible,Carpet,Wood Floor,Plank Floor,Tile Floor
3,3.0,Oakland,94612,Uptown Oakland,5188,1421.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
3,2.5,Oakland,94612,Uptown Oakland,5410 ,1312.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
3,2.5,Oakland,94612,Uptown Oakland,5430 ,1373.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
3,3.0,Oakland,94612,Uptown Oakland,5875 ,1550.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
3,3.0,Oakland,94612,Uptown Oakland,5895 ,1322.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
1,1.0,Oakland,94608,Downtown Oakland,2107,504.0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0
1,1.0,Oakland,94608,Downtown Oakland,2143,695.0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0
1,1.0,Oakland,94608,Downtown Oakland,2094,568.0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0
1,1.0,Oakland,94608,Downtown Oakland,2296,616.0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0
3,2.5,Alameda,94501,West Alameda,4380,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4280 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4305 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4305 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4305 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4305 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4305 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4305 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4305 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4305 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4405 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4455 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4455 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4480 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
4,2.5,Alameda,94501,West Alameda,4502,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
4,2.5,Alameda,94501,West Alameda,4390 ,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
4,2.5,Alameda,94501,West Alameda,4390 ,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
